idx|chapter|sec|no|content|lang
81|2|10|10|And a river went out of Eden giving water to the garden; and from there it was parted and became four streams.|en
82|2|11|11|第一道名叫比遜，就是環繞哈腓拉全地的。在那裡有金子，|zh
83|2|11|11|The name of the first is Pishon, which goes round about all the land of Havilah where there is gold.|en
84|2|12|12|並且那地的金子是好的；在那裡又有珍珠和紅瑪瑙。|zh
85|2|12|12|And the gold of that land is good: there is bdellium and the onyx stone.|en
86|2|13|13|第二道河名叫基訓，就是環繞古實全地的。|zh
87|2|13|13|And the name of the second river is Gihon: this river goes round all the land of Cush.|en
88|2|14|14|第三道河名叫底格里斯，流在亞述的東邊。第四道河就是伯拉河。|zh
89|2|14|14|And the name of the third river is Tigris, which goes to the east of Assyria. And the fourth river is Euphrates.|en
90|2|15|15|耶和華神將那人安置在伊甸園，使他修理，看守。|zh
91|2|15|15|And the Lord God took the man and put him in the garden of Eden to do work in it and take care of it.|en
92|2|16|16|耶和華神吩咐他說：園中各樣樹上的果子，你可以隨意吃，|zh
93|2|16|16|And the Lord God gave the man orders, saying, You may freely take of the fruit of every tree of the garden:|en
94|2|17|17|只是分別善惡樹上的果子，你不可吃，因為你吃的日子必定死！|zh
95|2|17|17|But of the fruit of the tree of the knowledge of good and evil you may not take; for on the day when you take of it, death will certainly come to you.|en
96|2|18|18|耶和華神說：那人獨居不好，我要為他造一個配偶幫助他。|zh
97|2|18|18|And the Lord God said, It is not good for the man to be by himself: I will make one like himself as a help to him|en
98|2|19|19|耶和華神用土所造成的野地各樣走獸和空中各樣飛鳥都帶到那人面前，看他叫甚麼。那人怎樣叫各樣的活物，那就是他的名字。|zh
99|2|19|19|And from the earth the Lord God made every beast of the field and every bird of the air, and took them to the man to see what names he would give them: and whatever name he gave to any living thing, that was its name.|en
100|2|20|20|那人便給一切牲畜和空中飛鳥、野地走獸都起了名；只是那人沒有遇見配偶幫助他。|zh
101|2|20|20|And the man gave names to all cattle and to the birds of the air and to every beast of the field; but Adam had no one like himself as a help.|en
102|2|21|21|耶和華神使他沉睡，他就睡了；於是取下他的一條肋骨，又把肉合起來。|zh
103|2|21|21|And the Lord God sent a deep sleep on the man, and took one of the bones from his side while he was sleeping, joining up the flesh again in its place:|en
104|2|22|22|耶和華神就用那人身上所取的肋骨造成一個女人，領他到那人跟前。|zh
105|2|22|22|And the bone which the Lord God had taken from the man he made into a woman, and took her to the man.|en
106|2|23|23|那人說：這是我骨中的骨，肉中的肉，可以稱他為女人，因為他是從男人身上取出來的。|zh
107|2|23|23|And the man said, This is now bone of my bone and flesh of my flesh: let her name be Woman because she was taken out of Man.|en
108|2|24|24|因此，人要離開父母，與妻子連合，二人成為一體。|zh
109|2|24|24|For this cause will a man go away from his father and his mother and be joined to his wife; and they will be one flesh.|en
110|2|25|25|當時夫妻二人赤身露體，並不羞恥。|zh
111|2|25|25|And the man and his wife were without clothing, and they had no sense of shame.|en
112|3|1|1|耶和華神所造的，惟有蛇比田野一切的活物更狡猾。蛇對女人說：　神豈是真說不許你們吃園中所有樹上的果子麼？|zh
113|3|1|1|Now the snake was wiser than any beast of the field which the Lord God had made. And he said to the woman, Has God truly said that you may not take of the fruit of any tree in the garden?|en
114|3|2|2|女人對蛇說：園中樹上的果子，我們可以吃，|zh
115|3|2|2|And the woman said, We may take of the fruit of the trees in the garden:|en
116|3|3|3|惟有園當中那棵樹上的果子，神曾說：你們不可吃，也不可摸，免得你們死。|zh
117|3|3|3|But of the fruit of the tree in the middle of the garden, God has said, If you take of it or put your hands on it, death will come to you.|en
118|3|4|4|蛇對女人說：你們不一定死；|zh
119|3|4|4|And the snake said, Death will not certainly come to you:|en
120|3|5|5|因為神知道，你們吃的日子眼睛就明亮了，你們便如神能知道善惡。|zh
121|3|5|5|For God sees that on the day when you take of its fruit, your eyes will be open, and you will be as gods, having knowledge of good and evil.|en
122|3|6|6|於是女人見那棵樹的果子好作食物，也悅人的眼目，且是可喜愛的，能使人有智慧，就摘下果子來吃了，又給他丈夫，他丈夫也吃了。|zh
123|3|6|6|And when the woman saw that the tree was good for food, and a delight to the eyes, and to be desired to make one wise, she took of its fruit, and gave it to her husband.|en
124|3|7|7|他們二人的眼睛就明亮了，才知道自己是赤身露體，便拿無花果樹的葉子為自己編作裙子。|zh
125|3|7|7|And their eyes were open and they were conscious that they had no clothing and they made themselves coats of leaves stitched together.|en
126|3|8|8|天起了涼風，耶和華神在園中行走。那人和他妻子聽見　神的聲音，就藏在園裡的樹木中，躲避耶和華　神的面。|zh
127|3|8|8|And there came to them the sound of the Lord God walking in the garden in the evening wind: and the man and his wife went to a secret place among the trees of the garden, away from the eyes of the Lord God.|en
128|3|9|9|耶和華神呼喚那人，對他說：你在那裡？|zh
129|3|9|9|And the voice of the Lord God came to the man, saying, Where are you?|en
130|3|10|10|他說：我在園中聽見你的聲音，我就害怕；因為我赤身露體，我便藏了。|zh
131|3|10|10|And he said, Hearing your voice in the garden I was full of fear, because I was without clothing: and I kept myself from your eyes.|en
132|3|11|11|耶和華說：誰告訴你赤身露體呢？莫非你吃了我吩咐你不可吃的那樹上的果子嗎？|zh
133|3|11|11|And he said, Who gave you the knowledge that you were without clothing? Have you taken of the fruit of the tree which I said you were not to take?|en
134|3|12|12|那人說：你所賜給我與我同居的女人，他把那樹上的果子給我，我就吃了。|zh
135|3|12|12|And the man said, The woman whom you gave to be with me, she gave me the fruit of the tree and I took it.|en
136|3|13|13|耶和華神對女人說：你作的是甚麼事呢？女人說：那蛇引誘我，我就吃了。|zh
137|3|13|13|And the Lord God said to the woman, What have you done? And the woman said, I was tricked by the deceit of the snake and I took it.|en
138|3|14|14|耶和華神對蛇說：你既作了這事，就必受咒詛，比一切的牲畜野獸更甚。你必用肚子行走，終身吃土。|zh
139|3|14|14|And the Lord God said to the snake, Because you have done this you are cursed more than all cattle and every beast of the field; you will go flat on the earth, and dust will be your food all the days of your life:|en
140|3|15|15|我又要叫你和女人彼此為仇；你的後裔和女人的後裔也彼此為仇。女人的後裔要傷你的頭；你要傷他的腳跟。|zh
141|3|15|15|And there will be war between you and the woman and between your seed and her seed: by him will your head be crushed and by you his foot will be wounded.|en
142|3|16|16|又對女人說：我必多多加增你懷胎的苦楚；你生產兒女必多受苦楚。你必戀慕你丈夫；你丈夫必管轄你。|zh
143|3|16|16|To the woman he said, Great will be your pain in childbirth; in sorrow will your children come to birth; still your desire will be for your husband, but he will be your master.|en
144|3|17|17|又對亞當說：你既聽從妻子的話，吃了我所吩咐你不可吃的那樹上的果子，地必為你的緣故受咒詛；你必終身勞苦才能從地裡得吃的。|zh
145|3|17|17|And to Adam he said, Because you gave ear to the voice of your wife and took of the fruit of the tree which I said you were not to take, the earth is cursed on your account; in pain you will get your food from it all your life.|en
146|3|18|18|地必給你長出荊棘和蒺藜來；你也要吃田間的菜蔬。|zh
147|3|18|18|Thorns and waste plants will come up, and the plants of the field will be your food;|en
148|3|19|19|你必汗流滿面才得糊口，直到你歸了土，因為你是從土而出的。你本是塵土，仍要歸於塵土。|zh
149|3|19|19|With the hard work of your hands you will get your bread till you go back to the earth from which you were taken: for dust you are and to the dust you will go back.|en
150|3|20|20|亞當給他妻子起名叫夏娃，因為他是眾生之母。|zh
151|3|20|20|And the man gave his wife the name of Eve because she was the mother of all who have life.|en
152|3|21|21|耶和華神為亞當和他妻子用皮子作衣服給他們穿。|zh
153|3|21|21|And the Lord God made for Adam and for his wife coats of skins for their clothing.|en
154|3|22|22|耶和華神說：那人已經與我們相似，能知道善惡；現在恐怕他伸手又摘生命樹的果子吃，就永遠活著。|zh
155|3|22|22|And the Lord God said, Now the man has become like one of us, having knowledge of good and evil; and now if he puts out his hand and takes of the fruit of the tree of life, he will go on living for ever.|en
156|3|23|23|耶和華神便打發他出伊甸園去，耕種他所自出之土。|zh
157|3|23|23|So the Lord God sent him out of the garden of Eden to be a worker on the earth from which he was taken.|en
158|3|24|24|於是把他趕出去了；又在伊甸園的東邊安設基路伯和四面轉動發火燄的劍，要把守生命樹的道路。|zh
159|3|24|24|So he sent the man out; and at the east of the garden of Eden he put winged ones and a flaming sword turning every way to keep the way to the tree of life.|en
160|4|1|1|有一日，那人和他妻子夏娃同房，夏娃就懷孕，生了該隱(就是得的意思)，便說：耶和華使我得了一個男子。|zh
161|4|1|1|And the man had connection with Eve his wife, and she became with child and gave birth to Cain, and said, I have got a man from the Lord.|en
162|4|2|2|又生了該隱的兄弟亞伯。亞伯是牧羊的；該隱是種地的。|zh
163|4|2|2|Then again she became with child and gave birth to Abel, his brother. And Abel was a keeper of sheep, but Cain was a farmer.|en
164|4|3|3|有一日，該隱拿地裡的出產為供物獻給耶和華|zh
165|4|3|3|And after a time, Cain gave to the Lord an offering of the fruits of the earth.|en
166|4|4|4|亞伯也將他羊群中頭生的和羊的脂油獻上。耶和華看中了亞伯和他的供物，|zh
167|4|4|4|And Abel gave an offering of the young lambs of his flock and of their fat. And the Lord was pleased with Abel's offering;|en
168|4|5|5|只是看不中該隱和他的供物。該隱就大大的發怒，變了臉色。|zh
169|4|5|5|But in Cain and his offering he had no pleasure. And Cain was angry and his face became sad.|en
170|4|6|6|耶和華對該隱說：你為甚麼發怒呢？你為甚麼變了臉色呢？|zh
171|4|6|6|And the Lord said to Cain, Why are you angry? and why is your face sad?|en
172|4|7|7|你若行得好，豈不蒙悅納？你若行得不好，罪就伏在門前。他必戀慕你，你卻要制伏他。|zh
173|4|7|7|If you do well, will you not have honour? and if you do wrong, sin is waiting at the door, desiring to have you, but do not let it be your master.|en
174|4|8|8|該隱與他兄弟亞伯說話；二人正在田間。該隱起來打他兄弟亞伯，把他殺了。|zh
175|4|8|8|And Cain said to his brother, Let us go into the field: and when they were in the field, Cain made an attack on his brother Abel and put him to death.|en
176|4|9|9|耶和華對該隱說：你兄弟亞伯在那裡？他說：我不知道！我豈是看守我兄弟的麼？|zh
177|4|9|9|And the Lord said to Cain, Where is your brother Abel? And he said, I have no idea: am I my brother's keeper?|en
178|4|10|10|耶和華說：你作了甚麼事呢？你兄弟的血有聲音從地裡向我哀告。|zh
179|4|10|10|And he said, What have you done? the voice of your brother's blood is crying to me from the earth.|en
180|4|11|11|地開了口，從你手裡接受你兄弟的血。現在你必從這地受咒詛。|zh
181|4|11|11|And now you are cursed from the earth, whose mouth is open to take your brother's blood from your hand;|en
182|4|12|12|你種地，地不再給你效力；你必流離飄蕩在地上。|zh
183|4|12|12|No longer will the earth give you her fruit as the reward of your work; you will be a wanderer in flight over the earth.|en
184|4|13|13|該隱對耶和華說：我的刑罰太重，過於我所能當的。|zh
185|4|13|13|And Cain said, My punishment is greater than my strength.|en
186|4|14|14|你如今趕逐我離開這地，以致不見你面；我必流離飄蕩在地上，凡遇見我的必殺我。|zh
187|4|14|14|You have sent me out this day from the face of the earth and from before your face; I will be a wanderer in flight over the earth, and whoever sees me will put me to death.|en
188|4|15|15|耶和華對他說：凡殺該隱的，必遭報七倍。耶和華就給該隱立一個記號，免得人遇見他就殺他。|zh
189|4|15|15|And the Lord said, Truly, if Cain is put to death, seven lives will be taken for his. And the Lord put a mark on Cain so that no one might put him to death.|en
190|4|16|16|於是該隱離開耶和華的面，去住在伊甸東邊挪得之地。|zh
191|4|16|16|And Cain went away from before the face of the Lord, and made his living-place in the land of Nod on the east of Eden.|en
192|4|17|17|該隱與妻子同房，他妻子就懷孕，生了以諾。該隱建造了一座城，就按著他兒子的名將那城叫作以諾。|zh
193|4|17|17|And Cain had connection with his wife and she became with child and gave birth to Enoch: and he made a town, and gave the town the name of Enoch after his son.|en
194|4|18|18|以諾生以拿；以拿生米戶雅利；米戶雅利生瑪土撒利；瑪土撒利生拉麥。|zh
195|4|18|18|And Enoch had a son Irad: and Irad became the father of Mehujael: and Mehujael became the father of Methushael: and Methushael became the father of Lamech.|en
196|4|19|19|拉麥娶了兩個妻：一個名叫亞大，一個名叫洗拉。|zh
197|4|19|19|And Lamech had two wives; the name of the one was Adah, and the name of the other Zillah.|en
198|4|20|20|亞大生雅八；雅八就是住帳棚、牧養牲畜之人的祖師。|zh
199|4|20|20|And Adah gave birth to Jabal: he was the father of such as are living in tents and keep cattle.|en
200|4|21|21|雅八的兄弟名叫猶八；他是一切彈琴吹簫之人的祖師。|zh
201|4|21|21|And his brother's name was Jubal: he was the father of all players on instruments of music.|en
202|4|22|22|洗拉又生了土八該隱；他是打造各樣銅鐵利器的(或作：是銅匠鐵匠的祖師)。土八該隱的妹子是拿瑪。|zh
203|4|22|22|And Zillah gave birth to Tubal-cain, who is the father of every maker of cutting instruments of brass and iron: and the sister of Tubal-cain was Naamah.|en
204|4|23|23|拉麥對他兩個妻子說：亞大、洗拉，聽我的聲音；拉麥的妻子，細聽我的話語：壯年人傷我，我把他殺了；少年人損我，我把他害了(或作我殺壯士卻傷自己，我害幼童卻損本身。)|zh
205|4|23|23|And Lamech said to his wives, Adah and Zillah, give ear to my voice; you wives of Lamech, give attention to my words, for I would put a man to death for a wound, and a young man for a blow;|en
206|4|24|24|若殺該隱，遭報七倍，殺拉麥，必遭報七十七倍。|zh
207|4|24|24|If seven lives are to be taken as punishment for Cain's death, seventy-seven will be taken for Lamech's.|en
208|4|25|25|亞當又與妻子同房，他就生了一個兒子，起名叫塞特，意思說：神另給我立了一個兒子代替亞伯，因為該隱殺了他。|zh
209|4|25|25|And Adam had connection with his wife again, and she gave birth to a son to whom she gave the name of Seth: for she said, God has given me another seed in place of Abel, whom Cain put to death.|en
210|4|26|26|塞特也生了一個兒子，起名叫以挪士。那時候，人才求告耶和華的名。|zh
211|4|26|26|And Seth had a son, and he gave him the name of Enosh: at this time men first made use of the name of the Lord in worship.|en
212|5|1|1|亞當的後代記在下面。〈當神造人的日子，是照著自己的樣式造的，|zh
213|5|1|1|This is the book of the generations of Adam. In the day when God made man, he made him in the image of God;|en
214|5|2|2|並且造男造女。在他們被造的日子，神賜福給他們，稱他們為人。〉|zh
215|5|2|2|Male and female he made them, naming them Man, and giving them his blessing on the day when they were made.|en
216|5|3|3|亞當活到一百三十歲，生了一個兒子，形像樣式和自己相似，就給他起名叫塞特。|zh
217|5|3|3|Adam had been living for a hundred and thirty years when he had a son like himself, after his image, and gave him the name of Seth:|en
218|5|4|4|亞當生塞特之後，又在世八百年，並且生兒養女。|zh
219|5|4|4|And after the birth of Seth, Adam went on living for eight hundred years, and had sons and daughters:|en
220|5|5|5|亞當共活了九百三十歲就死了。|zh
221|5|5|5|And all the years of Adam's life were nine hundred and thirty: and he came to his end.|en
222|5|6|6|塞特活到一百零五歲，生了以挪士。|zh
223|5|6|6|And Seth was a hundred and five years old when he became the father of Enosh:|en
224|5|7|7|塞特生以挪士之後，又活了八百零七年，並且生兒養女。|zh
225|5|7|7|And he went on living after the birth of Enosh for eight hundred and seven years, and had sons and daughters:|en
226|5|8|8|塞特共活了九百一十二歲就死了。|zh
227|5|8|8|And all the years of Seth's life were nine hundred and twelve: and he came to his end.|en
228|5|9|9|以挪士活到九十歲，生了該南。|zh
229|5|9|9|And Enosh was ninety years old when he became the father of Kenan:|en
230|5|10|10|以挪士生該南之後，又活了八百一十五年，並且生兒養女。|zh
231|5|10|10|And after the birth of Kenan, Enosh went on living for eight hundred and fifteen years, and had sons and daughters:|en
232|5|11|11|以挪士共活了九百零五歲就死了。|zh
233|5|11|11|And all the years of Enosh were nine hundred and five: and he came to his end.|en
234|5|12|12|該南活到七十歲，生了瑪勒列。|zh
235|5|12|12|And Kenan was seventy years old when he became the father of Mahalalel:|en
236|5|13|13|該南生瑪勒列之後，又活了八百四十年，並且生兒養女。|zh
237|5|13|13|And after the birth of Mahalalel, Kenan went on living for eight hundred and forty years, and had sons and daughters:|en
238|5|14|14|該南共活了九百一十歲就死了。|zh
239|5|14|14|And all the years of Kenan's life were nine hundred and ten; and he came to his end.|en
240|5|15|15|瑪勒列活到六十五歲，生了雅列。|zh
241|5|15|15|And Mahalalel was sixty-five years old when he became the father of Jared:|en
242|5|16|16|瑪勒列生雅列之後，又活了八百三十年，並且生兒養女。|zh
243|5|16|16|And after the birth of Jared, Mahalalel went on living for eight hundred and thirty years, and had sons and daughters:|en
244|5|17|17|瑪勒列共活了八百九十五歲就死了。|zh
245|5|17|17|And all the years of Mahalalel's life were eight hundred and ninety-five: and he came to his end.|en
246|5|18|18|雅列活到一百六十二歲，生了以諾。|zh
247|5|18|18|And Jared was a hundred and sixty-two years old when he became the father of Enoch:|en
248|5|19|19|雅列生以諾之後，又活了八百年，並且生兒養女。|zh
249|5|19|19|And Jared went on living after the birth of Enoch for eight hundred years, and had sons and daughters:|en
250|5|20|20|雅列共活了九百六十二歲就死了.。|zh
251|5|20|20|And all the years of Jared's life were nine hundred and sixty-two: and he came to his end.|en
252|5|21|21|以諾活到六十五歲，生了瑪土撒拉。|zh
253|5|21|21|And Enoch was sixty-five years old when he became the father of Methuselah:|en
254|5|22|22|以諾生瑪土撒拉之後，與神同行三百年，並且生兒養女。|zh
255|5|22|22|And after the birth of Methuselah, Enoch went on in God's ways for three hundred years, and had sons and daughters:|en
256|5|23|23|以諾共活了三百六十五歲。|zh
257|5|23|23|And all the years of Enoch's life were three hundred and sixty-five:|en
258|5|24|24|以諾與神同行，　神將他取去，他就不在世了。|zh
259|5|24|24|And Enoch went on in God's ways: and he was not seen again, for God took him.|en
260|5|25|25|瑪土撒拉活到一百八十七歲，生了拉麥。|zh
261|5|25|25|And Methuselah was a hundred and eighty-seven years old when he became the father of Lamech:|en
262|5|26|26|瑪土撒拉生拉麥之後，又活了七百八十二年，並且生兒養女。|zh
263|5|26|26|And after the birth of Lamech, Methuselah went on living for seven hundred and eighty-two years, and had sons and daughters:|en
264|5|27|27|瑪土撒拉共活了九百六十九歲就死了。|zh
265|5|27|27|And all the years of Methuselah's life were nine hundred and sixty-nine: and he came to his end.|en
266|5|28|28|拉麥活到一百八十二歲，生了一個兒子，|zh
267|5|28|28|And Lamech was a hundred and eighty-two years old when he had a son:|en
268|5|29|29|給他起名叫挪亞，說：這個兒子必為我們的操作和手中的勞苦安慰我們；這操作勞苦是因為耶和華咒詛地。|zh
269|5|29|29|And he gave him the name of Noah, saying, Truly, he will give us rest from our trouble and the hard work of our hands, because of the earth which was cursed by God.|en
270|5|30|30|拉麥生挪亞之後，又活了五百九十五年，並且生兒養女。|zh
271|5|30|30|And after the birth of Noah, Lamech went on living for five hundred and ninety-five years, and had sons and daughters:|en
272|5|31|31|拉麥共活了七百七十七歲就死了。|zh
273|5|31|31|And all the years of Lamech's life were seven hundred and seventy-seven: and he came to his end.|en
274|5|32|32|挪亞五百歲生了閃、含、雅弗。|zh
275|5|32|32|And when Noah was five hundred years old, he became the father of Shem, Ham, and Japheth.|en
276|6|1|1|當人在世上多起來又生女兒的時候，|zh
277|6|1|1|And after a time, when men were increasing on the earth, and had daughters,|en
278|6|2|2|神的兒子們看見人的女子美貌，就隨意挑選，娶來為妻。|zh
279|6|2|2|The sons of God saw that the daughters of men were fair; and they took wives for themselves from those who were pleasing to them.|en
280|6|3|3|耶和華說：人既屬乎血氣，我的靈就不永遠住在他裡面；然而他的日子還可到一百二十年。|zh
281|6|3|3|And the Lord said, My spirit will not be in man for ever, for he is only flesh; so the days of his life will be a hundred and twenty years.|en
282|6|4|4|那時候有偉人在地上，後來神的兒子們和人的女子們交合生子；那就是上古英武有名的人。|zh
283|6|4|4|There were men of great strength and size on the earth in those days; and after that, when the sons of God had connection with the daughters of men, they gave birth to children: these were the great men of old days, the men of great name.|en
284|6|5|5|耶和華見人在地上罪惡很大，終日所思想的盡都是惡，|zh
285|6|5|5|And the Lord saw that the sin of man was great on the earth, and that all the thoughts of his heart were evil.|en
286|6|6|6|耶和華就後悔造人在地上，心中憂傷。|zh
287|6|6|6|And the Lord had sorrow because he had made man on the earth, and grief was in his heart.|en
288|6|7|7|耶和華說：我要將所造的人和走獸，並昆蟲，以及空中的飛鳥，都從地上除滅，因為我造他們後悔了。|zh
289|6|7|7|And the Lord said, I will take away man, whom I have made, from the face of the earth, even man and beast and that which goes on the earth and every bird of the air; for I have sorrow for having made them.|en
290|6|8|8|惟有挪亞在耶和華眼前蒙恩。|zh
291|6|8|8|But Noah had grace in the eyes of God.|en
